Name,Position,Rank,Team,RUSH,RUSHYDS,RUSHTD,REC,RECYDS,RECTD,C,A,PASSYDS,PASSTD,INT,PTS,FLOOR,CEILING,INJURY
Antonio Brown,WR,1,Pit,3.9,25,0.1,131.7,1743.6,10.1,0,0,0,0,0,242.2,FLOOR,CEILING,INJURY
Odell Beckham Jr.,WR,2,NYG,0,0,0,100.5,1501.9,9.4,0,0,0,0,0,205.6,FLOOR,CEILING,INJURY
Adrian Peterson,RB,3,Min,306.3,1454.9,9.9,28.8,222.7,0.8,0,0,0,0,0,225,FLOOR,CEILING,INJURY
Julio Jones,WR,4,Atl,0,0,0,126.3,1758.6,7.4,0,0,0,0,0,217.6,FLOOR,CEILING,INJURY
Todd Gurley,RB,5,LA,307,1327.8,10.7,38.4,311.2,0.9,0,0,0,0,0,228.5,FLOOR,CEILING,INJURY
Ezekiel Elliott,RB,6,Dal,265.7,1183.8,8.2,51.1,435.3,1.9,0,0,0,0,0,218.3,FLOOR,CEILING,INJURY
DeAndre Hopkins,WR,7,Hou,0,0,0,103.1,1458.9,8.9,0,0,0,0,0,198,FLOOR,CEILING,INJURY
David Johnson,RB,8,Ari,271.3,1118.3,8.7,57.2,520.7,2.6,0,0,0,0,0,226.2,FLOOR,CEILING,INJURY
Devonta Freeman,RB,9,Atl,241.9,970.7,7,68.8,548.1,2.3,0,0,0,0,0,204.3,FLOOR,CEILING,INJURY
Dez Bryant,WR,10,Dal,0,0,0,82.6,1186.4,9.8,0,0,0,0,0,176.3,FLOOR,CEILING,INJURY
Rob Gronkowski,TE,11,NE,0,0,0,76.8,1124.6,9.7,0,0,0,0,0,170.9,FLOOR,CEILING,INJURY
Le'Veon Bell,RB,12,Pit,206.6,929.4,6.2,52.4,448.8,2.3,0,0,0,0,0,188.4,FLOOR,CEILING,INJURY
Allen Robinson,WR,13,Jax,0,0,0,75.9,1212.9,8.2,0,0,0,0,0,169.9,FLOOR,CEILING,INJURY
Lamar Miller,RB,14,Hou,278.5,1289.8,6.2,43.2,319.1,1.3,0,0,0,0,0,202.6,FLOOR,CEILING,INJURY
A.J. Green,WR,15,Cin,0,0,0,85.3,1254.7,8.5,0,0,0,0,0,175.6,FLOOR,CEILING,INJURY
Doug Martin,RB,16,TB,269.5,1199.6,6.3,31.8,244.5,1,0,0,0,0,0,183.1,FLOOR,CEILING,INJURY
Jordy Nelson,WR,17,GB,0,0,0,87.5,1319.1,9.1,0,0,0,0,0,185.2,FLOOR,CEILING,INJURY
Mark Ingram,RB,18,NO,236.2,1026.9,8.6,56.2,390.3,1.8,0,0,0,0,0,201.2,FLOOR,CEILING,INJURY
Brandon Marshall,WR,19,NYJ,0,0,0,95.8,1253.1,8.4,0,0,0,0,0,174,FLOOR,CEILING,INJURY
Thomas Rawls,RB,20,Sea,250.7,1180.6,6.1,21.5,174.1,1.2,0,0,0,0,0,177.1,FLOOR,CEILING,INJURY
Sammy Watkins,WR,21,Buf,2.3,14.2,0.1,73.1,1161.4,7.4,0,0,0,0,0,162.5,FLOOR,CEILING,INJURY
Eddie Lacy,RB,22,GB,239.9,1058.3,6.6,29.3,234.8,1.3,0,0,0,0,0,171.1,FLOOR,CEILING,INJURY
Alshon Jeffery,WR,23,Chi,0,0,0,92.1,1325.8,8.4,0,0,0,0,0,181.8,FLOOR,CEILING,INJURY
Mike Evans,WR,24,TB,0,0,0,80.4,1195.3,8.5,0,0,0,0,0,169.6,FLOOR,CEILING,INJURY
Jamaal Charles,RB,25,KC,224.9,1190.4,8.6,46,385,2.2,0,0,0,0,0,214.4,FLOOR,CEILING,INJURY
Brandin Cooks,WR,26,NO,7.9,48.7,0.3,88.1,1063.1,6.7,0,0,0,0,0,151.5,FLOOR,CEILING,INJURY
LeSean McCoy,RB,27,Buf,280.8,1235.9,8.6,46.6,344.9,1.7,0,0,0,0,0,216.3,FLOOR,CEILING,INJURY
Jordan Reed,TE,28,Wsh,0,0,0,89.1,918.1,8.2,0,0,0,0,0,138.7,FLOOR,CEILING,INJURY
Amari Cooper,WR,29,Oak,0,0,0,82.5,1085.4,7.1,0,0,0,0,0,150.8,FLOOR,CEILING,INJURY
Demaryius Thomas,WR,30,Den,0,0,0,84.3,1094.2,6.4,0,0,0,0,0,146.7,FLOOR,CEILING,INJURY
Keenan Allen,WR,31,SD,0,0,0,106,1205.4,6.4,0,0,0,0,0,158.8,FLOOR,CEILING,INJURY
Jonathan Stewart,RB,32,Car,238.3,1043.9,5.8,20,148.2,0.6,0,0,0,0,0,153.8,FLOOR,CEILING,INJURY
