"Name","Position","Month","Day","Born","From","To","AllProSelections","ProBowl","StartYears","GamesPlayed","Age"
"Justin Drescher","C",1,1,"1988","2010","2015","0","0","0","86",10114
"Alani Fua","OLB",1,1,"1992","2015","2015","0","0","0","16",8653
"Terence Garvin","LB",1,1,"1991","2013","2015","0","0","0","43",9018
"William Gay","DB",1,1,"1985","2007","2015","0","0","5","144",11209
"Trumaine Johnson","CB",1,1,"1990","2012","2015","0","0","2","55",9383
"Mark Nzeocha","OLB",1,1,"1990","2015","2015","0","0","0","2",9383
"Jason Pierre-Paul","DE",1,1,"1989","2010","2015","1","2","3","83",9748
"Darius Slay","CB",1,1,"1991","2013","2015","0","0","2","45",9018
"Xavier Su'a-Filo","OG",1,1,"1991","2014","2015","0","0","0","24",9018
"Stephen Tulloch","LB",1,1,"1985","2006","2015","0","0","7","147",11209
"Kaelin Clay","WR",1,2,"1992","2015","2015","0","0","0","7",8652
"Ronald Darby","CB",1,2,"1994","2015","2015","0","0","1","15",7921
"Rashad Johnson","DB",1,2,"1986","2009","2015","0","0","3","100",10843
"Kelvin Sheppard","LB",1,2,"1988","2011","2015","0","0","3","77",10113
"Greg Toler","DB",1,2,"1985","2009","2015","0","0","3","72",11208
"Mackenzy Bernadeau","G",1,3,"1986","2009","2015","0","0","3","111",10842
"L.J. Fort","LB",1,3,"1990","2012","2015","0","0","0","17",9381
"Eli Manning","QB",1,3,"1981","2004","2015","0","4","11","185",12668
"Steve McLendon","DT",1,3,"1986","2010","2015","0","0","3","79",10842
"Dashaun Phillips","CB",1,3,"1991","2014","2015","0","0","0","6",9016
"Will Tukuafu","DT",1,3,"1984","2011","2015","0","0","0","43",11573
"Joe Barksdale","OL",1,4,"1989","2011","2015","0","0","3","70",9745
"Corbin Bryant","DE",1,4,"1988","2011","2015","0","0","1","48",10111
"Malliciah Goodman","DE",1,4,"1990","2013","2015","0","0","1","34",9380
"Michael Griffin","DB",1,4,"1985","2007","2015","0","2","9","141",11206
