,Rk,Name,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
0,1,Anton,PIT,27.0,WR,16,16,193,136,70.5%,1834,13.5,10,59,8.5,114.6,3
1,2,Jul,ATL,26.0,WR,16,16,203,136,67.0%,1871,13.8,8,70,8.5,116.9,3
2,3,DeAndr,HOU,23.0,WR,16,16,192,111,57.8%,1521,13.7,11,61,6.9,95.1,1
3,4,Jarv,MIA,23.0,WR,16,14,166,110,66.3%,1157,10.5,4,50,6.9,72.3,1
4,5,Larry F,ARI,32.0,WR,16,16,145,109,75.2%,1215,11.1,9,44,6.8,75.9,2
5,6,Brandon,NYJ,31.0,WR,16,16,173,109,63.0%,1502,13.8,14,69,6.8,93.9,3
6,7,Demaryi,DEN,28.0,WR,16,16,177,105,59.3%,1304,12.4,6,72,6.6,81.5,2
7,8,Odel,NYG,23.0,WR,15,15,158,96,60.8%,1450,15.1,13,87,6.4,96.7,2
8,9,Delan,TEN,31.0,TE,15,10,133,94,70.7%,1088,11.6,6,61,6.3,72.5,0
9,10,Go,DET,27.0,WR,16,16,128,90,70.3%,813,9.0,6,43,5.6,50.8,1
10,11,Calvi,DET,30.0,WR,16,16,149,88,59.1%,1214,13.8,9,57,5.5,75.9,1
11,12,Jere,KAN,27.0,WR,15,15,124,87,70.2%,1088,12.5,8,61,5.8,72.5,2
12,13,Jo,WAS,25.0,te/wr,14,9,114,87,76.3%,952,10.9,11,32,6.2,68.0,3
13,14,A,CIN,27.0,WR,16,16,132,86,65.2%,1297,15.1,10,80,5.4,81.1,1
14,15,Michael,OAK,28.0,WR,16,15,146,85,58.2%,922,10.8,9,38,5.3,57.6,1
15,16,Jordan,PHI,23.0,WR,16,13,126,85,67.5%,997,11.7,8,78,5.3,62.3,2
16,17,Bran,NOR,22.0,WR,16,13,129,84,65.1%,1138,13.5,9,71,5.3,71.1,1
17,18,Er,NYJ,28.0,WR,15,13,132,80,60.6%,1027,12.8,12,35,5.3,68.5,1
18,19,The,DET,24.0,rb,16,1,99,80,80.8%,697,8.7,3,34,5.0,43.6,1
19,20,Allen,JAX,22.0,WR,16,16,151,80,53.0%,1400,17.5,14,90,5.0,87.5,0
20,21,Danny,SDG,30.0,rb,16,1,106,80,75.5%,755,9.4,6,61,5.0,47.2,0
21,22,Gary,CLE,30.0,TE,16,13,125,79,63.2%,1043,13.2,9,40,4.9,65.2,0
22,23,Ran,GNB,25.0,WR,16,15,129,79,61.2%,829,10.5,6,53,4.9,51.8,1
23,24,Dou,SEA,27.0,WR,16,16,103,78,75.7%,1069,13.7,14,80,4.9,66.8,1
24,25,G,CAR,30.0,TE,16,16,124,77,62.1%,1104,14.3,7,52,4.8,69.0,1
25,26,Jas,DAL,33.0,TE,16,16,104,77,74.0%,713,9.3,3,35,4.8,44.6,1
26,27,Emmanue,DEN,28.0,WR,15,15,136,76,55.9%,1135,14.9,6,75,5.1,75.7,2
27,28,Ka,BAL,26.0,WR,16,14,127,75,59.1%,944,12.6,5,48,4.7,59.0,1
28,29,,PHI,25.0,te/wr,15,6,112,75,67.0%,853,11.4,2,60,5.0,56.9,1
29,30,M,TAM,22.0,WR,15,14,148,74,50.0%,1206,16.3,3,68,4.9,80.4,1
30,31,B,NOR,35.0,TE,16,16,110,74,67.3%,825,11.1,6,46,4.6,51.6,1
31,32,Devont,ATL,23.0,RB,15,13,97,73,75.3%,578,7.9,3,44,4.9,38.5,3
32,33,Ama,OAK,21.0,WR,16,15,130,72,55.4%,1070,14.9,6,68,4.5,66.9,1
33,34,Pier,WAS,29.0,WR,16,16,111,72,64.9%,777,10.8,6,39,4.5,48.6,0
34,35,Rob Gr,NWE,26.0,TE,15,15,120,72,60.0%,1176,16.3,11,76,4.8,78.4,0
35,36,Tra,KAN,26.0,TE,16,16,103,72,69.9%,875,12.2,5,42,4.5,54.7,2
36,37,Anqu,SFO,35.0,WR,14,13,111,69,62.2%,789,11.4,4,51,4.9,56.4,1
37,38,T.,IND,26.0,WR,16,15,134,69,51.5%,1124,16.3,5,87,4.3,70.3,1
38,39,Wil,NOR,23.0,fb/WR,15,9,101,69,68.3%,984,14.3,3,63,4.6,65.6,2
39,40,Travis,CLE,26.0,WR,16,15,125,68,54.4%,966,14.2,5,61,4.3,60.4,3
40,41,Kee,SDG,23.0,WR,8,8,89,67,75.3%,725,10.8,4,38,8.4,90.6,1
41,42,Danny,NWE,30.0,wr,14,7,87,65,74.7%,648,10.0,3,41,4.6,46.3,1
42,43,J,ARI,25.0,WR,15,11,101,65,64.4%,1003,15.4,7,68,4.3,66.9,1
43,44,Mar,CIN,25.0,rb/WR,16,13,103,65,63.1%,816,12.6,4,47,4.1,51.0,0
44,45,Al,JAX,24.0,WR,15,14,105,64,61.0%,1031,16.1,10,80,4.3,68.7,2
45,46,Donte,IND,22.0,WR,16,10,105,64,61.0%,733,11.5,6,33,4.0,45.8,0
46,47,Julia,NWE,29.0,WR,9,9,88,61,69.3%,692,11.3,7,59,6.8,76.9,1
47,48,Duk,CLE,22.0,rb,16,7,74,61,82.4%,534,8.8,2,52,3.8,33.4,1
48,49,Hea,PIT,33.0,TE,15,15,81,60,74.1%,535,8.9,2,27,4.0,35.7,0
49,50,Samm,BUF,22.0,WR,13,13,96,60,62.5%,1047,17.5,9,63,4.6,80.5,0
50,51,Jamiso,WAS,22.0,fb/wr,16,6,78,59,75.6%,604,10.2,2,44,3.7,37.8,4
51,52,Ja,ATL,30.0,TE,15,8,81,59,72.8%,657,11.1,1,41,3.9,43.8,0
52,53,Sha,NYG,26.0,,16,0,81,59,72.8%,495,8.4,4,37,3.7,30.9,1
53,54,Richar,GNB,23.0,TE,16,12,85,58,68.2%,510,8.8,8,61,3.6,31.9,0
54,55,Rueb,NYG,24.0,WR,16,16,90,57,63.3%,797,14.0,8,72,3.6,49.8,0
55,56,Anto,SDG,35.0,te,11,4,85,56,65.9%,630,11.3,5,40,5.1,57.3,0
56,57,Darre,PHI,32.0,rb/wr,16,4,83,55,66.3%,388,7.1,1,35,3.4,24.3,1
57,58,Cob,IND,27.0,TE/wr,16,11,84,54,64.3%,491,9.1,3,57,3.4,30.7,0
58,59,Alsho,CHI,25.0,WR,9,8,94,54,57.4%,807,14.9,4,50,6.0,89.7,1
59,60,Martellu,CHI,28.0,TE,11,11,80,53,66.3%,439,8.3,3,24,4.8,39.9,2
60,61,Tav,STL,24.0,WR,16,14,87,52,59.8%,473,9.1,5,66,3.3,29.6,2
61,62,Col,DAL,26.0,wr,16,3,75,52,69.3%,536,10.3,5,30,3.3,33.5,2
62,63,Ste,MIN,22.0,WR,13,9,84,52,61.9%,720,13.8,4,40,4.0,55.4,2
63,64,Tyl,CIN,25.0,TE,13,12,74,52,70.3%,615,11.8,13,31,4.0,47.3,0
64,65,Mich,ARI,26.0,wr,15,6,89,52,58.4%,849,16.3,6,60,3.5,56.6,0
65,66,Terrance,DAL,26.0,WR,16,13,93,52,55.9%,840,16.2,3,42,3.3,52.5,0
66,67,Cha,BUF,26.0,TE,13,13,77,51,66.2%,528,10.4,3,40,3.9,40.6,1
67,68,Tyler,SEA,23.0,fb/wr,16,8,69,51,73.9%,664,13.0,6,49,3.2,41.5,1
68,69,Cha,TAM,25.0,,16,0,70,51,72.9%,561,11.0,4,56,3.2,35.1,2
69,70,Dava,GNB,23.0,WR,13,12,94,50,53.2%,483,9.7,1,40,3.8,37.2,0
70,71,Martav,PIT,24.0,wr,11,5,92,50,54.3%,765,15.3,6,88,4.5,69.5,1
71,72,Ma,NOR,26.0,RB,12,10,60,50,83.3%,405,8.1,0,59,4.2,33.8,2
72,73,Ja,GNB,31.0,WR,16,15,99,50,50.5%,890,17.8,8,65,3.1,55.6,1
73,74,Giovan,CIN,24.0,rb,16,1,66,49,74.2%,472,9.6,0,45,3.1,29.5,1
74,75,Jermai,SEA,25.0,WR,16,16,68,49,72.1%,685,14.0,5,50,3.1,42.8,1
75,76,Kyl,MIN,26.0,TE,16,16,73,49,67.1%,495,10.1,5,47,3.1,30.9,0
76,77,Jim,SEA,29.0,TE,11,11,74,48,64.9%,605,12.6,2,45,4.4,55.0,0
77,78,E,DET,22.0,TE,14,8,70,47,67.1%,537,11.4,5,55,3.4,38.4,0
78,79,Lam,MIA,24.0,RB,16,16,57,47,82.5%,397,8.4,2,54,2.9,24.8,1
79,80,Bil,NYJ,27.0,fb/rb,11,2,63,47,74.6%,388,8.3,2,25,4.3,35.3,2
80,81,Nate W,HOU,32.0,WR,14,14,94,47,50.0%,658,14.0,4,49,3.4,47.0,0
81,82,Rob,BUF,23.0,WR,14,9,80,47,58.8%,552,11.7,3,37,3.4,39.4,2
82,83,Owe,DEN,33.0,TE,16,16,77,46,59.7%,517,11.2,3,37,2.9,32.3,0
83,84,Brian,CLE,29.0,wr,12,4,77,46,59.7%,523,11.4,2,41,3.8,43.6,1
84,85,St,BAL,36.0,wr,7,7,73,46,63.0%,670,14.6,3,50,6.6,95.7,0
85,86,Juli,JAX,27.0,TE,12,11,80,46,57.5%,455,9.9,5,34,3.8,37.9,0
86,87,Javor,BAL,24.0,rb,16,6,62,45,72.6%,353,7.8,2,41,2.8,22.1,2
87,88,Marque,NOR,32.0,wr,13,5,67,45,67.2%,520,11.6,4,53,3.5,40.0,0
88,89,Stev,SDG,29.0,WR,10,8,65,45,69.2%,497,11.0,3,34,4.5,49.7,1
89,90,M,CHI,30.0,RB,13,13,58,44,75.9%,389,8.8,3,38,3.4,29.9,2
90,91,,CAR,30.0,WR,15,13,97,44,45.4%,739,16.8,10,74,2.9,49.3,0
91,92,DeMar,PHI,27.0,RB,15,8,55,44,80.0%,322,7.3,1,44,2.9,21.5,2
92,93,Marku,PIT,24.0,WR,16,8,79,44,55.7%,749,17.0,5,72,2.8,46.8,0
93,94,Rishard,MIA,26.0,WR,11,11,61,43,70.5%,662,15.4,4,53,3.9,60.2,0
94,95,Jam,GNB,29.0,rb,16,4,53,43,81.1%,392,9.1,3,30,2.7,24.5,5
95,96,Ro,ATL,34.0,WR,16,16,70,43,61.4%,506,11.8,1,25,2.7,31.6,0
96,97,Cec,HOU,28.0,wr,11,4,75,42,56.0%,484,11.5,2,42,3.8,44.0,2
97,98,,NYG,24.0,te/wr,13,7,62,42,67.7%,464,11.0,3,45,3.2,35.7,1
98,99,Andr,IND,34.0,WR,16,14,77,41,53.2%,503,12.3,4,35,2.6,31.4,0
99,100,Kyle,BAL,24.0,FB,16,11,56,41,73.2%,321,7.8,4,39,2.6,20.1,0
100,101,Latavi,OAK,25.0,RB,16,16,53,41,77.4%,232,5.7,0,23,2.6,14.5,4
101,102,Darren,DAL,28.0,RB,16,10,53,40,75.5%,328,8.2,0,21,2.5,20.5,3
102,103,Ja,NWE,23.0,rb,14,1,54,40,74.1%,410,10.3,4,68,2.9,29.3,0
103,104,DeAngelo,PIT,32.0,RB,16,10,47,40,85.1%,367,9.2,0,34,2.5,22.9,4
104,105,J,STL,28.0,TE,16,12,75,39,52.0%,481,12.3,0,49,2.4,30.1,2
105,106,Jerricho,CAR,33.0,wr,14,3,54,39,72.2%,485,12.4,3,59,2.8,34.6,0
106,107,Mik,MIN,29.0,WR,16,12,72,39,54.2%,473,12.1,2,34,2.4,29.6,0
107,108,Ver,2TM,31.0,,15,9,58,38,65.5%,395,10.4,0,43,2.5,26.3,0
108,109,Ladar,SDG,25.0,TE,13,11,63,37,58.7%,429,11.6,4,31,2.8,33.0,0
