Rk,Name,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,Lng.1,R/G,Y/G.1,YScm,RRTD,Fmb
1,Adrian ,MIN,30.0,RB,16,16,327,1485,11,80,4.5,92.8,20.4,36.0,30.0,222.0,7.4,0.0,49.0,1.9,13.9,1707,11,7
2,Dou,TAM,26.0,RB,16,16,288,1402,6,84,4.9,87.6,18.0,44.0,33.0,271.0,8.2,1.0,25.0,2.1,16.9,1673,7,5
3,Latavi,OAK,25.0,RB,16,16,266,1066,6,54,4.0,66.6,16.6,53.0,41.0,232.0,5.7,0.0,23.0,2.6,14.5,1298,6,4
4,Devont,ATL,23.0,RB,15,13,265,1056,11,39,4.0,70.4,17.7,97.0,73.0,578.0,7.9,3.0,44.0,4.9,38.5,1634,14,3
5,F,IND,32.0,RB,16,16,260,967,6,37,3.7,60.4,16.3,58.0,34.0,267.0,7.9,1.0,34.0,2.1,16.7,1234,7,4
6,Ch,NYJ,27.0,RB,15,14,247,1070,7,58,4.3,71.3,16.5,37.0,30.0,217.0,7.2,1.0,36.0,2.0,14.5,1287,8,4
7,Jonatha,CAR,28.0,RB,13,13,242,989,6,44,4.1,76.1,18.6,21.0,16.0,99.0,6.2,1.0,15.0,1.2,7.6,1088,7,3
8,Darren,DAL,28.0,RB,16,10,239,1089,3,50,4.6,68.1,14.9,53.0,40.0,328.0,8.2,0.0,21.0,2.5,20.5,1417,3,3
9,To,STL,21.0,RB,13,12,229,1106,10,71,4.8,85.1,17.6,26.0,21.0,188.0,9.0,0.0,31.0,1.6,14.5,1294,10,3
10,Je,CIN,23.0,RB,16,15,223,794,11,38,3.6,49.6,13.9,19.0,15.0,79.0,5.3,1.0,14.0,0.9,4.9,873,12,3
11,M,CHI,30.0,RB,13,13,218,898,4,27,4.1,69.1,16.8,58.0,44.0,389.0,8.8,3.0,38.0,3.4,29.9,1287,7,2
12,Ronni,DEN,24.0,RB,16,11,207,863,7,72,4.2,53.9,12.9,35.0,24.0,111.0,4.6,0.0,14.0,1.5,6.9,974,7,3
13,LeS,BUF,27.0,RB,12,12,203,895,3,48,4.4,74.6,16.9,50.0,32.0,292.0,9.1,2.0,22.0,2.7,24.3,1187,5,2
14,Alfr,WAS,27.0,RB,16,16,202,751,1,48,3.7,46.9,12.6,13.0,10.0,55.0,5.5,0.0,12.0,0.6,3.4,806,1,0
15,DeAngelo,PIT,32.0,RB,16,10,200,907,11,55,4.5,56.7,12.5,47.0,40.0,367.0,9.2,0.0,34.0,2.5,22.9,1274,11,4
16,Chri,ARI,30.0,RB,11,9,196,814,3,62,4.2,74.0,17.8,13.0,6.0,58.0,9.7,0.0,40.0,0.5,5.3,872,3,2
17,Rashad,NYG,30.0,RB,16,16,195,863,3,38,4.4,53.9,12.2,40.0,29.0,296.0,10.2,1.0,51.0,1.8,18.5,1159,4,2
18,Lam,MIA,24.0,RB,16,16,194,872,8,85,4.5,54.5,12.1,57.0,47.0,397.0,8.4,2.0,54.0,2.9,24.8,1269,10,1
19,DeMar,PHI,27.0,RB,15,8,193,702,6,54,3.6,46.8,12.9,55.0,44.0,322.0,7.3,1.0,44.0,2.9,21.5,1024,7,2
20,E,GNB,25.0,RB,15,12,187,758,3,29,4.1,50.5,12.5,28.0,20.0,188.0,9.4,2.0,28.0,1.3,12.5,946,5,4
21,Isaia,CLE,22.0,RB,16,9,185,706,4,54,3.8,44.1,11.6,22.0,19.0,182.0,9.6,1.0,53.0,1.2,11.4,888,5,0
22,Melv,SDG,22.0,RB,14,13,184,641,0,27,3.5,45.8,13.1,37.0,33.0,192.0,5.8,0.0,18.0,2.4,13.7,833,0,6
23,Al,HOU,24.0,RB,15,9,183,698,2,41,3.8,46.5,12.2,16.0,15.0,109.0,7.3,1.0,21.0,1.0,7.3,807,3,2
24,T.,JAX,22.0,RB,12,12,182,740,2,45,4.1,61.7,15.2,46.0,36.0,279.0,7.8,1.0,67.0,3.0,23.3,1019,3,0
25,Ma,NOR,26.0,RB,12,10,166,769,6,70,4.6,64.1,13.8,60.0,50.0,405.0,8.1,0.0,59.0,4.2,33.8,1174,6,2
26,LeGarret,NWE,29.0,rb,12,6,165,703,6,38,4.3,58.6,13.8,7.0,6.0,43.0,7.2,1.0,14.0,0.5,3.6,746,7,1
27,Charcand,KAN,24.0,RB,15,9,160,634,4,38,4.0,42.3,10.7,34.0,20.0,214.0,10.7,1.0,80.0,1.3,14.3,848,5,1
28,Giovan,CIN,24.0,rb,16,1,154,730,2,28,4.7,45.6,9.6,66.0,49.0,472.0,9.6,0.0,45.0,3.1,29.5,1202,2,1
29,C.J.,DEN,24.0,rb,15,5,152,720,5,48,4.7,48.0,10.1,36.0,25.0,183.0,7.3,0.0,27.0,1.7,12.2,903,5,2
30,Justi,BAL,30.0,RB,10,10,151,641,2,33,4.2,64.1,15.1,41.0,31.0,153.0,4.9,0.0,32.0,3.1,15.3,794,2,0
31,Jeremy,CHI,24.0,rb,16,2,148,537,6,23,3.6,33.6,9.3,42.0,22.0,279.0,12.7,1.0,83.0,1.4,17.4,816,7,0
32,Jam,GNB,29.0,rb,16,4,148,601,2,65,4.1,37.6,9.3,53.0,43.0,392.0,9.1,3.0,30.0,2.7,24.5,993,5,5
33,Tho,SEA,22.0,rb,13,7,147,830,4,69,5.6,63.8,11.3,11.0,9.0,76.0,8.4,1.0,31.0,0.7,5.8,906,5,1
34,M,WAS,22.0,,13,0,144,490,3,39,3.4,37.7,11.1,25.0,19.0,304.0,16.0,1.0,78.0,1.5,23.4,794,4,5
35,Ameer,DET,22.0,RB,16,9,143,597,2,36,4.2,37.3,8.9,38.0,25.0,183.0,7.3,1.0,36.0,1.6,11.4,780,3,5
36,Antoni,TEN,24.0,RB,14,10,143,520,3,38,3.6,37.1,10.2,29.0,21.0,174.0,8.3,0.0,23.0,1.5,12.4,694,3,1
37,Javor,BAL,24.0,rb,16,6,137,514,1,44,3.8,32.1,8.6,62.0,45.0,353.0,7.8,2.0,41.0,2.8,22.1,867,3,2
38,Ca,CAR,26.0,QB,16,16,132,636,10,47,4.8,39.8,8.3,,,,,,,,,636,10,5
39,Davi,ARI,24.0,rb,16,5,125,581,8,47,4.6,36.3,7.8,57.0,36.0,457.0,12.7,4.0,55.0,2.3,28.6,1038,12,4
40,Ca,SFO,24.0,rb,7,7,115,470,3,22,4.1,67.1,16.4,15.0,11.0,53.0,4.8,0.0,11.0,1.6,7.6,523,3,1
41,Le',PIT,23.0,rb,6,6,113,556,3,42,4.9,92.7,18.8,26.0,24.0,136.0,5.7,0.0,20.0,4.0,22.7,692,3,0
42,Marsh,SEA,29.0,rb,7,6,111,417,3,24,3.8,59.6,15.9,21.0,13.0,80.0,6.2,0.0,19.0,1.9,11.4,497,3,0
43,Rya,PHI,28.0,rb,13,6,107,539,6,63,5.0,41.5,8.2,28.0,20.0,146.0,7.3,1.0,23.0,1.5,11.2,685,7,3
44,Cha,TAM,25.0,,16,0,107,529,0,59,4.9,33.1,6.7,70.0,51.0,561.0,11.0,4.0,56.0,3.2,35.1,1090,4,2
45,Duk,CLE,22.0,rb,16,7,104,379,0,39,3.6,23.7,6.5,74.0,61.0,534.0,8.8,2.0,52.0,3.8,33.4,913,2,1
46,Tyr,BUF,26.0,QB/wr,14,14,104,568,4,31,5.5,40.6,7.4,1.0,1.0,4.0,4.0,0.0,4.0,0.1,0.3,572,4,9
47,Russe,SEA,27.0,QB,16,16,103,553,1,24,5.4,34.6,6.4,,,,,,,,,553,1,7
48,C,HOU,26.0,rb,15,2,99,334,1,20,3.4,22.3,6.6,28.0,16.0,109.0,6.8,1.0,12.0,1.1,7.3,443,2,0
49,Danny,SDG,30.0,rb,16,1,98,336,3,27,3.4,21.0,6.1,106.0,80.0,755.0,9.4,6.0,61.0,5.0,47.2,1091,9,0
50,Tim ,NOR,29.0,rb,8,3,96,375,4,26,3.9,46.9,12.0,13.0,12.0,129.0,10.8,0.0,27.0,1.5,16.1,504,4,0
51,Karlos,BUF,22.0,fb/rb,11,3,93,517,7,41,5.6,47.0,8.5,14.0,11.0,96.0,8.7,2.0,26.0,1.0,8.7,613,9,2
52,Jo,DET,29.0,rb,13,5,90,311,4,36,3.5,23.9,6.9,27.0,22.0,286.0,13.0,0.0,39.0,1.7,22.0,597,4,1
53,Andre,NYG,23.0,,16,0,88,257,1,35,2.9,16.1,5.5,3.0,1.0,7.0,7.0,0.0,7.0,0.1,0.4,264,1,0
54,Tevi,ATL,22.0,rb,12,3,87,392,1,46,4.5,32.7,7.3,11.0,2.0,14.0,7.0,0.0,10.0,0.2,1.2,406,1,3
55,A,KAN,31.0,QB,16,16,84,498,2,49,5.9,31.1,5.3,,,,,,,,,498,2,4
56,Darre,PHI,32.0,rb/wr,16,4,83,317,3,27,3.8,19.8,5.2,83.0,55.0,388.0,7.1,1.0,35.0,3.4,24.3,705,4,1
57,Shau,2TM,28.0,,11,6,78,273,1,30,3.5,24.8,7.1,35.0,27.0,176.0,6.5,0.0,26.0,2.5,16.0,449,1,1
58,Jose,DAL,24.0,rb,6,6,76,313,4,37,4.1,52.2,12.7,10.0,10.0,87.0,8.7,0.0,25.0,1.7,14.5,400,4,1
59,,STL,22.0,rb,13,3,75,207,1,15,2.8,15.9,5.8,25.0,18.0,88.0,4.9,0.0,16.0,1.4,6.8,295,1,3
