"Name","Position","Rank","Team","RUSH","RUSHYDS","RUSHTD","REC","RECYDS","RECTD","C","A","PASSYDS","PASSTD","INT","PTS"
Le'Veon Bell,RB,1,Pit,254,1090,6,62,502,3,0,0,0,0,0,211.5
Adrian Peterson,RB,2,Min,264,1231,9,46,391,2,0,0,0,0,0,222.6
Eddie Lacy,RB,3,GB,301,1332,10,45,317,2,0,0,0,0,0,232.7
Jamaal Charles,RB,4,KC,243,1118,8,55,473,3,0,0,0,0,0,218.7
Marshawn Lynch,RB,5,Sea,282,1293,8,29,233,2,0,0,0,0,0,208.5
Antonio Brown,WR,6,Pit,5,30,0,115,1513,9,0,0,0,0,0,209.1
C.J. Anderson,RB,7,Den,277,1202,10,47,403,1,0,0,0,0,0,224.6
Matt Forte,RB,8,NYJ,241,1021,5,65,598,2,0,0,0,0,0,201.4
DeMarco Murray,RB,9,Ten,251,1157,11,26,200,1,0,0,0,0,0,203.6
Demaryius Thomas,WR,10,Den,0,0,0,102,1302,11,0,0,0,0,0,196
LeSean McCoy,RB,11,Buf,304,1363,7,36,255,1,0,0,0,0,0,205.5
Rob Gronkowski,TE,12,NE,0,0,0,88,1087,9,0,0,0,0,0,162
Dez Bryant,WR,13,Dal,0,0,0,90,1367,10,0,0,0,0,0,194
Jeremy Hill,RB,14,Cin,274,1259,10,22,169,1,0,0,0,0,0,201.6
Odell Beckham Jr.,WR,15,NYG,8,55,0,103,1380,8,0,0,0,0,0,191
Julio Jones,WR,16,Atl,2,13,0,105,1403,8,0,0,0,0,0,187.1
Calvin Johnson,WR,17,Det,0,0,0,87,1282,10,0,0,0,0,0,188
A.J. Green,WR,18,Cin,5,30,0,90,1274,9,0,0,0,0,0,182.1
Randall Cobb,WR,19,GB,14,106,0,88,1200,8,0,0,0,0,0,178
Aaron Rodgers,QB,20,GB,50,255,2,0,0,0,349,541,4305,33,8,317
Alshon Jeffery,WR,21,Chi,8,51,0,88,1222,8,0,0,0,0,0,173
T.Y. Hilton,WR,22,Ind,4,26,0,86,1197,8,0,0,0,0,0,167.2
Mike Evans,WR,23,TB,0,0,0,81,1209,7,0,0,0,0,0,160
Mark Ingram,RB,24,NO,227,939,10,29,220,1,0,0,0,0,0,179.6
Andrew Luck,QB,25,Ind,56,265,2,0,0,0,383,622,4495,37,17,323.3
