"Name","Position","Draft","RUSH","RUSHYDS","RUSHAVG","RUSHTD","TAR","REC","RECYDS","RECAVG","RECTD","C","A","COMPYDS","COMPTD","INT","SCK","DINT","FR","DTD","PA","YA","1-39A","1-39C","40-49A","40-49C","50+A","50+C","TOTA","TOTC","XPA","XPC","PTS","TEAM"
"Le'Veon Bell","RB",1,254.0,1090.0,4.3,"--","--",62.0,502.0,"--",3.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","211.5","--"
"Adrian Peterson","RB",2,264.0,1231.0,4.7,"--","--",46.0,391.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","222.6","--"
"Eddie Lacy","RB",3,301.0,1332.0,4.4,"--","--",45.0,317.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","232.7","--"
"Jamaal Charles","RB",4,243.0,1118.0,4.6,"--","--",55.0,473.0,"--",3.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","218.7","--"
"Marshawn Lynch","RB",5,282.0,1293.0,4.6,"--","--",29.0,233.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","208.5","--"
"Antonio Brown","WR",6,5.0,30.0,"--",0.0,170.0,115.0,1513.0,13.2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","209.1","--"
"C.J. Anderson","RB",7,277.0,1202.0,4.3,"--","--",47.0,403.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","224.6","--"
"Matt Forte","RB",8,241.0,1021.0,4.2,"--","--",65.0,598.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","201.4","--"
"DeMarco Murray","RB",9,251.0,1157.0,4.6,"--","--",26.0,200.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","203.6","--"
"Demaryius Thomas","WR",10,0.0,0.0,"--",0.0,166.0,102.0,1302.0,12.8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","196","--"
"LeSean McCoy","RB",11,304.0,1363.0,4.5,"--","--",36.0,255.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","205.5","--"
"Rob Gronkowski","TE",12,0.0,0.0,"--",0.0,136.0,88.0,1087.0,12.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","162","--"
"Dez Bryant","WR",13,0.0,0.0,"--",0.0,143.0,90.0,1367.0,15.2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","194","--"
"Jeremy Hill","RB",14,274.0,1259.0,4.6,"--","--",22.0,169.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","201.6","--"
"Odell Beckham Jr.","WR",15,8.0,55.0,"--",0.0,161.0,103.0,1380.0,13.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","191","--"
"Julio Jones","WR",16,2.0,13.0,"--",0.0,159.0,105.0,1403.0,13.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","187.1","--"
"Calvin Johnson","WR",17,0.0,0.0,"--",0.0,145.0,87.0,1282.0,14.7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","188","--"
"A.J. Green","WR",18,5.0,30.0,"--",0.0,151.0,90.0,1274.0,14.2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","182.1","--"
"Randall Cobb","WR",19,14.0,106.0,"--",0.0,125.0,88.0,1200.0,13.6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","178","--"
"Aaron Rodgers","QB",20,33.0,8.0,"--",50.0,"--","--","--","--","--",342.0,"--",349.0,"--",4305.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","317","--"
"Alshon Jeffery","WR",21,8.0,51.0,"--",0.0,147.0,88.0,1222.0,13.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","173","--"
"T.Y. Hilton","WR",22,4.0,26.0,"--",0.0,136.7,86.0,1197.0,13.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","167.2","--"
"Mike Evans","WR",23,0.0,0.0,"--",0.0,136.7,81.0,1209.0,14.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","160","--"
"Mark Ingram","RB",24,227.0,939.0,4.1,"--","--",29.0,220.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","179.6","--"
"Andrew Luck","QB",25,37.0,17.0,"--",56.0,"--","--","--","--","--",336.0,"--",383.0,"--",4495.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","323.3","--"
"Emmanuel Sanders","WR",26,9.0,60.0,"--",0.0,120.7,78.0,1090.0,14.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","155","--"
"DeAndre Hopkins","WR",27,0.0,0.0,"--",0.0,135.9,83.0,1173.0,14.1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","139.1","--"
"Alfred Morris","RB",28,250.0,1064.0,4.3,"--","--",22.0,168.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","168.5","--"
"Lamar Miller","RB",29,257.0,1155.0,4.5,"--","--",40.0,311.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","192.5","--"
"Brandin Cooks","WR",30,12.0,82.0,"--",0.0,121.7,83.0,1144.0,13.8,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","158.8","--"
"Jordan Matthews","WR",31,0.0,0.0,"--",0.0,130.9,80.0,990.0,12.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","147","--"
"Jimmy Graham","TE",32,0.0,0.0,"--",0.0,104.0,65.0,775.0,11.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","130.1","--"
"Carlos Hyde","RB",33,266.0,1105.0,4.2,"--","--",23.0,182.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","186.5","--"
"Justin Forsett","RB",34,223.0,1025.0,4.6,"--","--",52.0,402.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","182.4","--"
"Keenan Allen","WR",35,0.0,0.0,"--",0.0,117.9,78.0,1054.0,13.5,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","139.5","--"
"Russell Wilson","QB",36,27.0,9.0,"--",101.0,"--","--","--","--","--",312.0,"--",279.0,"--",3468.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","299.8","--"
"Melvin Gordon","RB",37,260.0,1148.0,4.4,"--","--",22.0,171.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","163.3","--"
"Peyton Manning","QB",38,34.0,14.0,"--",24.0,"--","--","--","--","--",307.0,"--",393.0,"--",4675.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","299","--"
"Jonathan Stewart","RB",39,248.0,1137.0,4.6,"--","--",28.0,194.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","170.4","--"
"Julian Edelman","WR",40,9.0,59.0,"--",0.0,135.2,98.0,1007.0,10.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","146.4","--"
"Vincent Jackson","WR",41,0.0,0.0,"--",0.0,112.5,65.0,1002.0,15.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","130","--"
"Frank Gore","RB",42,240.0,986.0,4.1,"--","--",39.0,316.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","175.5","--"
"Drew Brees","QB",43,32.0,13.0,"--",26.0,"--","--","--","--","--",290.0,"--",405.0,"--",4906.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","301.9","--"
"Tom Brady","QB",44,32.0,11.0,"--",35.0,"--","--","--","--","--",267.0,"--",404.0,"--",4411.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","295.9","--"
"DeSean Jackson","WR",45,4.0,26.0,"--",0.0,115.8,72.0,1098.0,15.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","141","--"
"Todd Gurley","RB",46,178.0,814.0,4.6,"--","--",18.0,143.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","129.3","--"
"Joique Bell","RB",47,212.0,809.0,3.8,"--","--",32.0,250.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","149.5","--"
"Amari Cooper","WR",48,4.0,25.0,"--",0.0,123.8,77.0,1027.0,13.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","132","--"
"Latavius Murray","RB",49,235.0,1025.0,4.4,"--","--",30.0,228.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","164.8","--"
"Golden Tate","WR",50,4.0,26.0,"--",0.0,128.3,85.0,1064.0,12.5,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","137.1","--"
"Andre Ellington","RB",51,172.0,676.0,3.9,"--","--",48.0,438.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","144.3","--"
